ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ
 NANO Node Vote Tallies → Grouped by [Root Hash] → Sorted by [Timestamp]
ˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍ
  498x ROOT: 4070C203A31F0C8DC895EEEAEB358D3806CD342B876E55B51AD75D2EE03FF25A
 MAIN BLOCK: 4FE0807D6666E4389381A91A34BAC3A06A906E67950722A6AB3476799A5271EA 
 FORK BLOCK: 070BFF6310BA814F2E94C22C5592F61A7D7D119CEDDB5DD751F60CFDE5D097DD
    MAIN BLOCK  |     FORK BLOCK  |                      TIMESTAMP
         40,25% |           0,00% |   [2018-06-18 05:19:04.617117]
         46,26% |           0,00% |   [2018-06-18 05:19:04.681305]
         55,86% |           0,00% |   [2018-06-18 05:19:04.737302]
         60,21% |           0,00% |   [2018-06-18 05:19:04.755301]
         63,03% |           0,00% |   [2018-06-18 05:19:05.024729]
         38,68% |           0,00% |   [2018-06-18 05:39:37.737022]
         38,70% |           0,00% |   [2018-06-18 08:26:30.289460]
         44,60% |           0,00% |   [2018-06-18 08:26:30.296460]
         47,42% |           0,00% |   [2018-06-18 08:26:30.335118]
         55,84% |           0,00% |   [2018-06-18 08:26:30.670109]
         55,94% |           0,00% |   [2018-06-18 08:27:09.907320]
         56,14% |           0,00% |   [2018-06-18 08:27:09.938333]
         56,56% |           0,00% |   [2018-06-18 08:27:09.991360]
         57,21% |           0,00% |   [2018-06-18 08:27:10.104339]
         59,96% |           0,00% |   [2018-06-18 08:27:10.155156]
         68,64% |           0,00% |   [2018-06-18 08:27:10.157158]
         40,50% |           0,00% |   [2018-06-18 08:35:58.135103]
         43,21% |           0,00% |   [2018-06-18 08:35:58.173151]
         43,21% |           0,08% |   [2018-06-18 08:35:58.188148]
         49,11% |           0,08% |   [2018-06-18 08:35:58.191160]
         62,24% |           0,08% |   [2018-06-18 08:35:58.219151]
         65,06% |           0,08% |   [2018-06-18 08:35:58.320145]
         45,77% |           0,21% |   [2018-06-18 09:10:06.607498]
         54,19% |           0,21% |   [2018-06-18 09:10:06.609501]
         63,54% |           0,21% |   [2018-06-18 09:10:06.638508]
         67,89% |           0,21% |   [2018-06-18 09:10:06.657496]
         37,95% |           0,13% |   [2018-06-18 09:41:13.714145]
         38,76% |           0,13% |   [2018-06-18 09:41:13.815149]
         41,58% |           0,13% |   [2018-06-18 09:41:13.847152]
         45,38% |           0,13% |   [2018-06-18 09:41:13.866158]
         45,60% |           0,13% |   [2018-06-18 09:41:13.874158]
         49,96% |           0,13% |   [2018-06-18 09:41:14.164150]
         55,86% |           0,13% |   [2018-06-18 09:41:14.202158]
         64,28% |           0,13% |   [2018-06-18 09:41:14.638833]
         64,47% |           0,13% |   [2018-06-18 09:41:14.731875]
         64,90% |           0,13% |   [2018-06-18 09:41:14.748874]
         66,62% |           0,13% |   [2018-06-18 09:41:14.814269]
         66,62% |           0,13% |   [2018-06-18 09:41:15.690182]
